#"level9.ac" 0.0,0.0,0.0,0.0,0.0,0.0
MUSIC "mods/anthygo.mod"
OCEAN
SKY 0.4,0.7,1.0
#TUX -170,42
#LIFE -73,56
#"tree.ac" -73,40
#"tree.ac" -93,29
#"tree.ac" -73,-45
#"slide9.ac" -60,64,73,90,0,0
#"floating_island.ac" 31,70,9.3,0,0,0
#"tree.ac" 40,72
#"jump_pad.ac"  30,60,14,0,0,0
#SHERRING 30,60
#"jump_pad.ac"  30,50,16,0,0,0
#SHERRING 30,50
#"tumbling_jump_pad.ac" 30,40,18,0,0,0
#"jump_pad.ac"  30,30,20,0,0,0
#SHERRING 30,30
#"tumbling_jump_pad.ac" 30,20,22,0,0,0
#"jump_pad.ac"  30,10,24,0,0,0
#"jump_pad.ac"  34,18,26,0,0,0
#YHERRING 34,18
#"jump_pad.ac"  38,26,28,0,0,0
#LIFE 30,10
#"jump_pad.ac"  48,26,30,0,0,0
#"jump_pad.ac"  48,16,32,0,0,0
#"swinging_platform.ac" 48,5,42,0,0,0
#"floating_island.ac" 48,-25,38,0,0,0
#LIFE 48,-25
#"tube9.ac" 46,-49,42.6,0,0,0
#"lavapit.ac" 46,-91,40,-90,0,0
#TELEPORTER 46,-118
#"floating_island.ac" 22,-212,80,0,0,0
#TELEPORTER 30,-201
#EXIT 22,-212,9999
#YHERRING 22,-201
#GHERRING -110,0
"tennisgame.ac" 0,0,0,0,0,0
TUX 0,0
